# Name                 	Mass	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	[Msun]	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
IC 4499                	1.67E+05	225.077	-82.214	18.8	38.7	0.477	-0.495	0.1	6	1257
NGC 1261               	1.67E+05	48.068	-55.216	16.3	71.5	1.632	-2.028	0.1	6	1865
NGC 3201               	1.57E+05	154.3987	-46.4125	4.9	494.62	8.3344	-1.9895	0.98	20	19316
NGC 6723               	1.57E+05	284.888	-36.632	8.7	-94.4	1.019	-2.442	0.13	8	4078
NGC 6355               	1.53E+05	260.994	-26.353	9.2	-196.4	-4.706	-0.512	0.05	3	338
Pal 11                 	1.48E+05	296.31	-8.007	13.4	-67.2	-1.813	-4.936	0.07	4	319
NGC 6362               	1.47E+05	262.9772	-67.0492	7.6	-14.7	-5.5014	-4.7417	0.26	8	8481
NGC 7099 (M 30)        	1.33E+05	325.0888	-23.1792	8.1	-186.48	-0.7017	-7.2218	0.26	8	4133
NGC 6101               	1.27E+05	246.451	-72.202	15.4	361.4	1.76	-0.216	0.1	6	3216
NGC 6712               	1.27E+05	283.268	-8.706	6.9	-107.5	3.329	-4.395	0.07	4	912
NGC 4590 (M 68)        	1.23E+05	189.8651	-26.7454	10.3	-93.2	-2.764	1.7916	0.24	8	3687
NGC 6934               	1.17E+05	308.547	7.404	15.6	-406.1	-2.645	-4.658	0.07	4	1385
Terzan 6 (HP 5)        	1.17E+05	267.693	-31.275	6.8	136.6	-5.519	-6.987	0.03	2	22
NGC 288                	1.16E+05	13.1879	-26.5858	8.9	-49.06	4.2385	-5.647	0.33	8	6166
NGC 6681 (M 70)        	1.13E+05	280.802	-32.2892	9	215.87	1.3853	-4.7174	0.08	6	1517
BH 229 (HP 1)          	1.11E+05	262.772	-29.982	8.2	40.1	2.463	-10.19	0.03	2	119
Arp 2                  	1.09E+05	292.184	-30.356	28.6	122.5	-2.384	-1.519	0.07	4	235
NGC 6496               	1.06E+05	269.7677	-44.266	11.3	-134.7	-3.029	-9.1971	0.13	6	1317
Rup 106                	1.02E+05	189.667	-51.15	21.2	-38.4	-1.264	0.391	0.05	3	442
NGC 6121 (M 4)         	9.69E+04	245.8976	-26.5279	2.2	71.4	-12.4956	-18.9789	1.13	20	18796
NGC 6352               	9.38E+04	261.3739	-48.427	5.6	-123.25	-2.1889	-4.4209	0.18	8	4027
NGC 6584               	9.07E+04	274.657	-52.216	13.5	259.6	-0.037	-7.213	0.1	6	1308
NGC 6528               	8.96E+04	271.2039	-30.055	7.9	211	-2.1879	-5.5718	0.05	2	144
NGC 6397               	8.89E+04	265.1697	-53.6773	2.3	19.18	3.2908	-17.5908	0.76	25	22209
NGC 6642               	8.72E+04	277.975	-23.475	8.1	-33	-0.178	-3.914	0.03	2	239
NGC 6171 (M 107)       	8.70E+04	248.135	-13.057	6.4	-35.01	-1.9359	-5.9487	0.33	6	4274
NGC 6218 (M 12)        	8.65E+04	251.8101	-1.951	4.8	-41	-0.1577	-6.7683	0.38	10	9803
Pismis 26 (Ton 2)      	8.01E+04	264.044	-38.553	8.2	-183.8	-5.943	-0.539	0.05	3	335
NGC 6624               	7.31E+04	275.919	-30.361	7.9	54.7	0.12	-6.929	0.05	3	536
NGC 6256               	7.23E+04	254.886	-37.121	10.3	-99.6	-3.649	-1.507	0.05	3	229
NGC 6544               	6.34E+04	271.8438	-25.0186	3	-27.06	-2.328	-18.5574	0.25	6	2682
Pal 3                  	6.15E+04	151.383	0.072	92.5	89.9	0.087	-0.085	0.05	3	36
