# Name                 	     RA	    DEC	      D	   Vlos	  eVlos	   PMRA	  PMDEC	  ePMRA	 ePMDEC	 corrPM	 radius	Nmember
#                      	    deg	    deg	    kpc	   km/s	   km/s	 mas/yr	 mas/yr	 mas/yr	 mas/yr	dimless	 arcmin	dimless
Arp 2                  	292.184	-30.356	   28.6	  122.5	    0.3	 -2.384	 -1.519	  0.021	  0.018	  0.149	    4.0	    235
NGC 6809 (M 55)        	294.999	-30.965	    5.4	  174.8	    0.2	 -3.404	 -9.265	  0.004	  0.004	  0.174	   12.0	  12803
Terzan 8               	295.435	-33.999	   26.3	  148.2	    0.2	 -2.438	 -1.571	  0.014	  0.009	 -0.212	    4.0	    379
Pal 11                 	296.310	 -8.007	   13.4	  -67.2	    1.0	 -1.813	 -4.936	  0.021	  0.017	  0.289	    4.0	    319
NGC 6838 (M 71)        	298.444	 18.779	    4.0	  -22.5	    0.2	 -3.398	 -2.614	  0.005	  0.005	  0.070	    6.0	   4413
NGC 6864 (M 75)        	301.520	-21.921	   20.9	 -188.6	    0.9	 -0.555	 -2.776	  0.011	  0.009	  0.141	    4.0	    989
NGC 6934               	308.547	  7.404	   15.6	 -406.1	    0.5	 -2.645	 -4.658	  0.008	  0.007	  0.131	    4.0	   1385
NGC 6981 (M 72)        	313.365	-12.537	   17.0	 -345.0	    3.7	 -1.236	 -3.306	  0.009	  0.006	  0.294	    4.0	   1242
NGC 7006               	315.372	 16.187	   41.2	 -383.2	    0.6	 -0.080	 -0.584	  0.017	  0.020	 -0.091	    3.0	    297
NGC 7078 (M 15)        	322.493	 12.167	   10.4	 -106.5	    0.2	 -0.622	 -3.782	  0.006	  0.006	 -0.037	   10.0	   7403
NGC 7089 (M 2)         	323.363	 -0.823	   11.5	   -3.6	    0.3	  3.531	 -2.139	  0.007	  0.007	  0.027	    8.0	   4272
NGC 7099 (M 30)        	325.092	-23.180	    8.1	 -185.3	    0.1	 -0.705	 -7.215	  0.007	  0.007	  0.269	    8.0	   4133
Pal 12                 	326.662	-21.253	   19.0	   28.2	    0.2	 -3.248	 -3.290	  0.023	  0.021	  0.293	    3.0	    206
Pal 13                 	346.685	 12.772	   26.0	   25.7	    0.3	  1.625	  0.114	  0.076	  0.059	  0.026	    3.0	     56
NGC 7492               	347.111	-15.611	   26.3	 -176.7	    0.2	  0.798	 -2.277	  0.018	  0.015	  0.104	    3.0	    199
