Cluster	Mass	RA	DEC	NMem	<RV>	ERV	R_Sun	R_GC		DM	V	M/L_V	DM/L	rc	"rh,m"	"rh,l"	rho_c	"rho_h,m"	lg Trh	MF	sig0	vesc	etac	etah
Name	[Msun]				[km/s]	[km/s]	[kpc]	[kpc]		[Msun]	[mag]	[Ms/Ls]	[Ms/Ls]	[pc]	[pc]	[pc]	[Ms/pc3]	[Ms/pc3]	[yr]	Slope	[km/s]	[km/s]		
NGC 1851	3.02E+05	78.52816	-40.04655	586	320.2	0.2	11.4	16.45		4.34E+03	7.24   0.09	2.02	0.15	0.15	3.09	1.65	6.57	3.32	9.02	-0.54	10.2	42.9	-0.41	-0.12
NGC 1904	1.69E+05	81.0462	-24.52472	412	205.6	0.2	13.27	19.54		1.09E+04	7.99   0.19	1.72	0.29	0.43	4.18	2.59	4.31	2.45	9.1	-0.4	6.5	26.2	-0.36	-0.11
NGC 2298	1.16E+04	102.24754	-36.00531	39	144.7	0.4	10.8	16.18		7.44E+03	9.42   0.13	0.46	0.3	0.86	4.03	2.95	2.91	1.76	8.52	0.15	1.6	6.1	-0.34	-0.1
NGC 2419	9.81E+05	114.53529	38.88244	195	-20.6	0.2	83.2	90.96		1.42E+05	10.48   0.15	2.23	0.32	8.94	24.2	18.29	3	0.92	10.74	-1.5	7.1	22.2	0	0
NGC 2808	7.42E+05	138.01291	-64.8635	2047	103.7	0.3	9.8	11.57		5.27E+03	6.33   0.09	1.64	0.12	0.68	3.22	2.06	4.6	3.43	9.21	-0.5	14.4	55.6	-0.36	-0.11
NGC 288	1.16E+05	13.1885	-26.58261	584	-44.8	0.1	9.8	13.03		3.41E+03	8.16   0.07	2.39	0.17	4.77	9.54	6.99	1.62	1.22	9.58	-0.45	3.3	11	-0.18	-0.07
NGC 3201	1.57E+05	154.40343	-46.41248	690	494.3	0.1	4.7	9.19		6.21E+03	6.88   0.20	2.53	0.43	1.92	6.17	3.77	2.69	1.89	9.43	-0.95	4.7	17.3	-0.36	-0.11
NGC 362	3.45E+05	15.80942	-70.84878	487	223.5	0.3	9.4	10.14		5.01E+03	6.55   0.16	1.65	0.25	0.47	4.21	2.32	4.5	2.75	9.3	-0.89	8.8	35.4	-0.39	-0.11
NGC 4147	3.29E+04	182.52626	18.54264	30	179.1	0.3	18.2	20.58		8.98E+03	10.38   0.11	1.51	0.44	0.27	3.47	2.49	4.7	2.63	8.59	0.01	3.1	11.9	-0.33	-0.1
NGC 4372	2.49E+05	186.43918	-72.659	214	75.3	0.3	6.3	7.59		2.47E+04	7.23   0.01	1.89	0.19	4.82	9.19	6.34	1.98	1.61	9.77	-1.03	4.9	16.4	-0.18	-0.08
