,Name,alpha,varpi,mu_alpha,mu_delta,C_varpimu_alpha,C_mu_alphamu_delta,nMemb,Vrad,uwsd_Vr,ClustId,delta,epsilon_varpi,epsilon_mualpha,epsilon_mudelta,C_varpimu_delta,rmaxdegr,uwsd_astr,epsilon_Vr,N_Vr
10,NGC4833,194.8978,0.1163,-8.3147,-0.9366,0.05,0.06,6269.0,207.86,5.97,C1256-706,-70.8718,0.0010,0.0036,0.0029,0.11,0.19,0.93,0.57,40.0
11,NGC5024,198.2262,0.0143,-0.1466,-1.3514,-0.12,-0.28,2637.0,-64.33,,C1310+184,18.1661,0.0018,0.0045,0.0032,0.08,0.26,1.14,,1.0
12,NGC5053,199.1124,0.0064,-0.3591,-1.2586,0.13,-0.32,918.0,,,C1313+179,17.7008,0.0040,0.0071,0.0048,-0.17,0.13,0.90,,0.0
13,NGC5139,201.7876,0.1237,-3.1925,-6.7445,-0.04,-0.03,32700.0,235.12,11.73,C1323-472,-47.4515,0.0011,0.0022,0.0019,0.17,1.09,0.91,0.59,88.0
14,NGC5272,205.5486,0.0265,-0.1127,-2.6274,-0.01,-0.03,12057.0,-146.48,5.54,C1339+286,28.3760,0.0010,0.0029,0.0022,-0.05,0.47,1.01,0.66,35.0
15,NGC5286,206.6136,0.0168,0.1836,-0.1477,-0.02,-0.01,1649.0,56.80,1.97,C1343-511,-51.3723,0.0025,0.0076,0.0068,0.08,0.16,1.21,1.66,7.0
16,NGC5466,211.3614,0.0210,-5.4044,-0.7907,0.04,0.07,1772.0,109.41,0.41,C1403+287,28.5331,0.0021,0.0042,0.0041,0.15,0.15,0.93,0.31,2.0
17,NGC5634,217.4053,0.0039,-1.7309,-1.5283,-0.06,-0.02,602.0,,,C1427-057,-5.9773,0.0047,0.0087,0.0074,0.06,0.09,1.04,,0.0
18,NGC5897,229.3515,0.0680,-5.4108,-3.4595,-0.02,-0.12,2613.0,99.92,1.77,C1514-208,-21.0115,0.0026,0.0053,0.0045,0.02,0.18,0.96,1.31,5.0
19,NGC5904,229.6394,0.1135,4.0613,-9.8610,-0.07,0.03,11741.0,54.54,7.56,C1516+022,2.0766,0.0010,0.0032,0.0029,0.09,0.56,0.98,0.86,61.0
20,NGC5927,232.0065,0.0996,-5.0470,-3.2325,-0.0,-0.08,2621.0,,,C1524-505,-50.6694,0.0021,0.0060,0.0055,-0.01,0.15,0.92,,0.0
21,NGC5946,233.8711,0.0444,-5.1909,-1.6522,-0.04,-0.1,757.0,131.88,,C1531-504,-50.6617,0.0047,0.0124,0.0101,-0.06,0.09,0.94,,1.0
22,NGC5986,236.5211,0.0718,-4.2217,-4.5515,-0.1,-0.18,2477.0,98.90,2.38,C1542-376,-37.7826,0.0031,0.0084,0.0065,-0.01,0.16,1.38,1.06,11.0
23,NGC6093,244.2564,0.0558,-2.9469,-5.5613,-0.1,0.01,1927.0,12.01,8.34,C1614-228,-22.9723,0.0030,0.0090,0.0073,0.06,0.16,1.23,1.7,16.0
24,NGC6121,245.8976,0.5001,-12.4956,-18.9789,-0.08,0.08,19508.0,71.40,7.79,C1620-264,-26.5279,0.0007,0.0033,0.003,0.03,1.13,1.02,0.3,182.0
25,NGC6144,246.8061,0.0668,-1.7646,-2.6371,-0.15,0.08,1882.0,195.85,1.38,C1624-259,-26.0301,0.0040,0.0085,0.0063,0.15,0.17,1.16,0.9,3.0
26,NGC6171,248.1350,0.1480,-1.9359,-5.9487,-0.13,0.03,4032.0,-35.01,6.94,C1629-129,-13.0570,0.0026,0.0064,0.0048,0.17,0.33,1.08,0.89,15.0
27,NGC6205,250.4217,0.0801,-3.1762,-2.5876,-0.04,0.19,15634.0,-245.62,9.79,C1639+365,36.4596,0.0007,0.0027,0.003,0.04,0.58,1.07,0.94,65.0
28,NGC6218,251.8101,0.1563,-0.1577,-6.7683,-0.06,0.29,10488.0,-41.00,5.24,C1644-018,-1.9510,0.0013,0.0040,0.0027,0.11,0.38,1.08,0.51,38.0
29,NGC6235,253.3557,0.0618,-3.9442,-7.5615,-0.18,0.25,882.0,,,C1650-220,-22.1798,0.0078,0.0130,0.0067,0.37,0.15,1.43,,0.0
30,NGC6254,254.2861,0.1511,-4.7031,-6.5285,-0.07,0.21,13005.0,76.76,5.89,C1654-040,-4.0981,0.0014,0.0039,0.0027,0.1,0.47,1.12,0.59,61.0
31,NGC6266,255.2821,0.2187,-5.3269,-2.9818,-0.11,0.23,3096.0,-74.86,3.84,C1658-300,-30.0938,0.0036,0.0082,0.0052,0.16,0.17,1.01,0.79,14.0
